Bottleneck,Cpu_0,InterArrivalTime_0,Memory_0,QueueLength_0,QueueTime_0,ResponseTime_0,ServiceTime_0,Throughput_0,time,BrokerId_0,Timestamp_0,Throughput_1,Memory_1,ServiceTime_1,InterArrivalTime_1,BrokerId_1,Timestamp_1,Cpu_1,QueueLength_1,QueueTime_1,ResponseTime_1
False,0.108886841593738,50505.657100,114057216,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:15,,,,,,,,,,,,
False,0.10855860991898486,50505.657100,114057216,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:16,,,,,,,,,,,,
False,0.10823459616799967,50505.657100,114061312,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:17,,,,,,,,,,,,
False,0.10790648130095815,50505.657100,114065408,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:18,,,,,,,,,,,,
False,0.10758524282871991,50505.657100,114069504,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:19,,,,,,,,,,,,
False,0.10726148317337666,50505.657100,114073600,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:20,,,,,,,,,,,,
False,0.10694366274475299,50505.657100,114061312,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:21,,,,,,,,,,,,
False,0.10662841176803985,50505.657100,114065408,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:22,,,,,,,,,,,,
False,0.10630937268642332,50505.657100,114065408,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:23,,,,,,,,,,,,
False,0.10599740852757453,50505.657100,114069504,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:24,,,,,,,,,,,,
False,0.10568771528931319,50505.657100,114081792,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:25,,,,,,,,,,,,
False,0.1053761069450687,50505.657100,114085888,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:26,,,,,,,,,,,,
