Node,level,msg,time,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_Cpu,B2_Memory,B2_QueueLength,B2_QueueTime,B2_ServiceTime,B2_ResponseTime,B2_InterArrivalTime,B2_Throughput,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
localhost:50002,info,Advertisement(apple > 0.5358807176369617) 25b83a74-8c91-4ebf-97d2-66b83fe4e2f2,2024-08-03 19:30:14,,,,,,,,,,,100.442824,31969280.0,4.0,1.614366,1.167339,2.781705,1.04551,0.359492,48.949487001,,99.95323,31334400.0,34.0,17.645325,0.907079,18.552404,0.498688,0.053901,47.329120001,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.12415417171039508) a83c715a-c4a4-4e5a-a4a6-74b2eb49762b,2024-08-03 19:30:15,99.982044,29118464.0,16.0,12.641147,1.166106,13.807253,0.751071,0.072426,47.697271601,,100.445711,31997952.0,4.0,2.415553,1.162686,3.578239,1.026087,0.279467,50.114748501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.590100154381946) 1ba79d1a-30ec-488f-9672-adcb5cfa1208,2024-08-03 19:30:16,,,,,,,,,,,100.444999,32063488.0,4.0,3.040193,1.165765,4.205957,1.037108,0.237758,51.281781401,,99.949101,31477760.0,38.0,18.551988,0.910694,19.462682,0.482529,0.05138,48.237783001,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.45120195210123215) 90eedc87-2a1b-4327-a429-9e1b4c033eaf,2024-08-03 19:30:17,,,,,,,,,,,100.424413,32063488.0,3.0,4.15505,1.160528,5.315578,1.037108,0.188126,52.443655401,,,,,,,,,,,,100.315136,31240192.0,5.0,5.835104,1.159886,6.99499,1.026477,0.142959,48.238646401,,99.910463,26750976.0,1.0,2.033434,1.15784,3.191274,1.266226,0.313354,42.401648301,
localhost:50002,info,Advertisement(apple > 0.42128263047385966) ba92969a-e261-4a6d-8ef1-19d773468441,2024-08-03 19:30:18,99.995997,30195712.0,18.0,13.803357,1.169267,14.972624,0.746525,0.066789,48.862527901,,100.456493,32112640.0,2.0,4.746574,1.169959,5.916533,1.037108,0.169018,53.608998901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7578123238385372) 7af939db-931a-4da4-ab01-a3c9885c4783,2024-08-03 19:30:19,,,,,,,,,,,100.433356,32153600.0,2.0,5.622198,1.164261,6.786459,1.097102,0.147352,54.772608501,,99.945198,31551488.0,37.0,19.456615,0.906467,20.363082,0.482529,0.049108,49.146409701,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.539855639675708) b2933393-3a87-4613-b987-0d68e53fae41,2024-08-03 19:30:21,,,,,,,,,,,100.4338,32223232.0,2.0,5.321828,1.162609,6.484437,1.112036,0.154215,55.939173601,,,,,,,,,,,,100.295428,31408128.0,5.0,4.836847,1.16889,6.005738,1.021836,0.166507,50.569386401,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7299899529659152) 311454f0-4cd9-4e9a-b144-0c870f4861fb,2024-08-03 19:30:22,,,,,,,,,,,100.404886,32260096.0,3.0,2.992651,1.166565,4.159216,1.088024,0.24043,57.106869901,,,,,,,,,,,,100.258755,31608832.0,6.0,5.849625,1.158157,7.007782,1.018727,0.142699,54.063259201,,99.924085,27480064.0,2.0,2.476094,1.163552,3.639646,1.198828,0.274752,48.212750201,
localhost:50002,info,Advertisement(apple > 0.8377906779798229) 38984415-562f-480d-9d53-a0862b46d831,2024-08-03 19:30:23,99.986812,30498816.0,19.0,15.424493,1.163057,16.58755,0.775877,0.060286,55.836652001,,100.415922,32366592.0,5.0,2.429058,1.167697,3.596754,1.044542,0.278028,58.267606701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.49850394108997237) 425d933c-797f-4d0d-9130-c7068e4ecde5,2024-08-03 19:30:24,,,,,,,,,,,100.407015,32456704.0,5.0,3.025854,1.162739,4.188593,1.041826,0.238744,59.439895601,,99.959262,31780864.0,41.0,21.35602,0.909071,22.26509,0.507667,0.044913,56.408040201,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7956646190142017) 7757b468-b7ab-4462-b0eb-a76f7a52bb8c,2024-08-03 19:30:25,99.991151,30629888.0,21.0,16.593025,1.169968,17.762993,0.766109,0.056297,57.006200401,,100.389337,32452608.0,4.0,3.596029,1.170286,4.766315,1.041826,0.209806,60.602126301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
