AverageQueueTime,AverageServiceTime,AverageThroughput,Bottleneck,B2_Cpu,B2_InterArrivalTime,B2_Memory,MessageCount,B2_QueueLength,B2_QueueTime,B2_ResponseTime,B2_ServiceTime,B2_Throughput,TotalArrival Time,level,msg,time,Node,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
2.469563,1.163129,0.275278,False,100.48117,1.014292,31211520.0,28,4.0,2.307523,3.464794,1.157271,0.288617,29.106202,info,Advertisement(apple > 0.6385672464676682) 298f503a-51f6-40ce-8d98-d999ca15d3bc,2024-08-03 19:30:04,localhost:50002,,,,,,,,,,,39.631841501,,99.921269,30871552.0,30.0,12.99382,0.915115,13.908935,0.469151,0.071896,37.320801101,,,,,,,,,,,,,,,,,,,,,
2.463331,1.163462,0.275726,False,100.512704,0.987362,31371264.0,30,5.0,2.972584,4.144358,1.171774,0.241292,30.428762,info,Advertisement(apple > 0.48957999974499866) 3f98ff6c-f792-4ef4-854f-0a1e0f234d3a,2024-08-03 19:30:05,localhost:50002,,,,,,,,,,,40.800837701,,,,,,,,,,,,100.337635,28631040.0,3.0,2.769699,1.16208,3.93178,1.029545,0.254338,37.778781701,,,,,,,,,,,
2.482192,1.163576,0.274291,False,100.51998628846793,0.987362,31457280.0,32,4.0,2.972584,4.139114,1.166530,0.241598,31.595572,info,Performance Metrics,2024-08-03 19:30:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.526357,1.163294,0.271028,False,100.496294,0.987362,31457280.0,32,4.0,3.718809,4.88534,1.16653,0.204694,31.595572,info,Advertisement(apple > 0.15903942145406608) 267cf5b2-50b3-4a2f-9b49-1267d2616bb8,2024-08-03 19:30:07,localhost:50002,,,,,,,,,,,41.958037201,,99.942553,30912512.0,29.0,13.906743,0.907501,14.814243,0.469151,0.067503,38.235248901,,,,,,,,,,,,,,,,,,,,,
2.526357,1.163294,0.271028,False,100.463874,0.987362,31510528.0,32,3.0,3.973122,5.128824,1.155701,0.194976,31.595572,info,Advertisement(apple > 0.18882445261034408) 1eb8c26a-3ba6-4e01-a6f2-2d312625a219,2024-08-03 19:30:08,localhost:50002,,,,,,,,,,,43.122489101,,99.931452,30924800.0,28.0,14.816907,0.914909,15.731816,0.469151,0.063565,39.146365601,,,,,,,,,,,,,,,,,,,,,
2.576245,1.163367,0.267407,False,100.46061,0.987362,31584256.0,32,2.0,4.728599,5.894014,1.165415,0.169664,31.595572,info,Advertisement(apple > 0.5097332217888795) e0891864-d234-4d43-af41-f74a04a95ea2,2024-08-03 19:30:09,localhost:50002,99.930799,27869184.0,12.0,9.871992,1.157913,11.029905,0.775438,0.090663,39.559890801,,44.290386901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.647991,1.163352,0.262375,False,100.465166,1.080605,31612928.0,33,2.0,5.304697,6.467593,1.162897,0.154617,35.659981,info,Advertisement(apple > 0.6921490396566948) aa2e5321-965c-4d86-877a-5f755eed0a3e,2024-08-03 19:30:10,localhost:50002,,,,,,,,,,,45.454820601,,,,,,,,,,,,100.369038,29130752.0,3.0,3.746255,1.155381,4.901636,1.047162,0.204014,40.102072501,,99.892483,26083328.0,0.0,1.343247,1.155033,2.49828,1.277527,0.400275,36.355933501,
2.733691,1.163613,0.256588,False,100.435546,1.080605,31776768.0,33,1.0,5.890864,7.062299,1.171435,0.141597,35.659981,info,Advertisement(apple > 0.590100154381946) d2ce117b-9566-4c82-8580-2d4bcfe1125e,2024-08-03 19:30:11,localhost:50002,99.978623,28196864.0,14.0,11.039802,1.170321,12.210123,0.766288,0.081899,40.728701101,,46.619461901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.832352,1.163582,0.250254,False,100.473547,1.10189,31842304.0,33,2.0,2.990683,4.153324,1.162641,0.240771,35.659981,info,Advertisement(apple > 0.76396847662559) 19b388c6-7ee7-4d86-9e38-9b9cbd09047f,2024-08-03 19:30:12,localhost:50002,,,,,,,,,,,47.783718501,,,,,,,,,,,,100.327709,30879744.0,4.0,4.379951,1.161458,5.541409,0.997243,0.18046,44.744047601,,,,,,,,,,,
2.837150,1.163696,0.249947,False,100.4534714640556,1.101890,31920128.0,35,1.0,2.990683,4.158022,1.167339,0.240499,38.566144,info,Performance Metrics,2024-08-03 19:30:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
