B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0,0,0,0,100.3286676,34590720,11.91383,0.083936,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.324904,34877440,10.060384,0.0994,0,0,0,0,100.174274,34394112,19.883134,0.050294,99.946328,31358976,6.521883,0.15333
0,0,0,0,100.314154,34942976,10.059168,0.099412,0,0,0,0,100.189333,34422784,21.042793,0.047522,0,0,0,0
0,0,0,0,100.315254,34947072,10.421679,0.095954,99.98527,34349056,48.396833,0.020663,0,0,0,0,0,0,0,0
0,0,0,0,100.326969,34963456,10.687417,0.093568,99.995281,34349056,49.305333,0.020282,0,0,0,0,0,0,0,0
100.070466,33464320,39.901819,0.025062,100.325843,34967552,10.797657,0.092613,0,0,0,0,0,0,0,0,0,0,0,0
100.07328,33509376,41.061706,0.024354,100.323209,34967552,10.793562,0.092648,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.3146412,34975744,10.781544,0.092751,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.320421,34979840,11.221321,0.089116,0,0,0,0,100.178166,34611200,20.352338,0.049134,0,0,0,0
0,0,0,0,100.31042,34983936,10.785538,0.092717,100.019745,34369536,48.516267,0.020612,0,0,0,0,0,0,0,0
0,0,0,0,100.313846,34983936,11.24469,0.088931,0,0,0,0,100.187859,34631680,22.20955,0.045026,99.941972,31453184,6.958442,0.14371
0,0,0,0,100.314408,34983936,12.21106,0.081893,100.029939,34377728,49.430061,0.020231,0,0,0,0,0,0,0,0
100.069066,33521664,43.803739,0.022829,100.301626,34983936,8.509725,0.117513,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.301582,34988032,9.059761,0.110378,100.022675,34390016,49.533148,0.020189,0,0,0,0,0,0,0,0
0,0,0,0,100.3292101,34988032,9.067455,0.110285,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.326322,34988032,10.099077,0.099019,0,0,0,0,100.241192,34680832,23.105436,0.04328,0,0,0,0
100.059366,33538048,44.967527,0.022238,100.32536,34988032,10.852282,0.092147,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.323695,34992128,11.66186,0.08575,100.040906,34390016,50.444661,0.019824,0,0,0,0,0,0,0,0
0,0,0,0,100.315091,34996224,12.432836,0.080432,0,0,0,0,100.237029,34680832,23.38714,0.042759,99.951445,31637504,7.404907,0.135046
0,0,0,0,100.316038,34996224,8.942196,0.111829,0,0,0,0,100.231808,34668544,23.566764,0.042433,0,0,0,0
0,0,0,0,100.295774,34996224,9.696207,0.103133,100.034152,34394112,50.542752,0.019785,0,0,0,0,0,0,0,0
0,0,0,0,100.2994646,35000320,9.696828,0.103127,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.294314,35000320,9.959527,0.100406,100.04255,34398208,51.458094,0.019433,0,0,0,0,0,0,0,0
100.059533,33542144,46.536585,0.021488,100.298007,35000320,10.925863,0.091526,0,0,0,0,0,0,0,0,0,0,0,0
100.062928,33562624,47.702584,0.020963,100.297152,35016704,10.920501,0.091571,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.287583,35016704,10.142823,0.098592,0,0,0,0,100.225383,34668544,25.710345,0.038895,99.957392,31883264,9.000064,0.11111
0,0,0,0,100.286958,35016704,10.075952,0.099246,100.050657,34414592,50.644573,0.019745,0,0,0,0,0,0,0,0
0,0,0,0,100.284199,35016704,10.321472,0.096885,100.048039,34414592,51.550565,0.019398,0,0,0,0,0,0,0,0
0,0,0,0,100.2971702,35020800,10.324687,0.096855,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.293267,35024896,11.297613,0.088514,0,0,0,0,100.215812,34672640,25.187748,0.039702,0,0,0,0
100.054669,33656832,49.278371,0.020293,100.293322,35024896,9.813738,0.101898,0,0,0,0,0,0,0,0,0,0,0,0
100.057689,34144256,50.448848,0.019822,100.286544,35205120,9.811269,0.101924,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.286625,35328000,10.445893,0.095731,100.047496,34430976,50.734404,0.01971,0,0,0,0,0,0,0,0
0,0,0,0,100.296048,35328000,11.334943,0.088223,0,0,0,0,100.212711,34676736,26.89895,0.037176,99.959305,32047104,9.426464,0.106084
0,0,0,0,100.296328,35332096,11.881706,0.084163,100.043881,34426880,51.640379,0.019365,0,0,0,0,0,0,0,0
0,0,0,0,100.2901107,35340288,11.876335,0.084201,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.288209,35340288,11.341015,0.088176,0,0,0,0,100.211796,34689024,26.769085,0.037357,0,0,0,0
0,0,0,0,100.286691,35352576,10.188847,0.098147,0,0,0,0,100.209699,34693120,26.92117,0.037145,99.955762,32317440,8.701436,0.114924
0,0,0,0,100.298028,35352576,10.816957,0.092447,100.044406,34435072,50.84223,0.019669,0,0,0,0,0,0,0,0
0,0,0,0,100.298806,35356672,11.073653,0.090304,100.04052,34463744,51.755154,0.019322,0,0,0,0,0,0,0,0
100.057765,34189312,53.187195,0.018802,100.295967,35356672,11.031481,0.09065,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.294874,35356672,11.344615,0.088148,0,0,0,0,100.204563,34693120,27.255357,0.03669,0,0,0,0
0,0,0,0,100.2894378,35356672,11.346088,0.088136,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.287184,35360768,9.113555,0.109727,100.037857,34492416,51.838253,0.019291,0,0,0,0,0,0,0,0
0,0,0,0,100.298682,35364864,9.369607,0.106728,100.03661,34525184,52.74467,0.018959,0,0,0,0,0,0,0,0
0,0,0,0,100.283674,35377152,9.037721,0.110647,0,0,0,0,100.197887,34807808,27.678437,0.036129,0,0,0,0
100.053597,34226176,55.915706,0.017884,100.283854,35377152,8.797145,0.113673,0,0,0,0,0,0,0,0,0,0,0,0
100.05398,34254848,57.097617,0.017514,100.285221,35385344,8.791214,0.11375,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.276231,35385344,8.561298,0.116805,100.037327,34758656,52.851438,0.018921,0,0,0,0,0,0,0,0
0,0,0,0,100.2804654,35385344,8.559692,0.116827,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.280468,35385344,8.814272,0.113452,100.035116,34770944,53.758237,0.018602,0,0,0,0,0,0,0,0
0,0,0,0,100.273868,35385344,7.888757,0.126763,0,0,0,0,100.185051,35000320,29.305948,0.034123,0,0,0,0
0,0,0,0,100.278354,35385344,6.739161,0.148386,0,0,0,0,100.162584,35020800,28.097655,0.03559,99.989003,33460224,10.018328,0.099817
0,0,0,0,100.28125,35385344,7.77757,0.128575,100.008555,34791424,52.919871,0.018896,0,0,0,0,0,0,0,0
100.021074,34275328,58.655742,0.017049,100.280874,35344384,8.819949,0.113379,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.274047,35344384,9.212242,0.108551,100.007871,34795520,53.838955,0.018574,0,0,0,0,0,0,0,0
0,0,0,0,100.278438,35344384,9.209205,0.108587,0,0,0,0,0,0,0,0,0,0,0,0
100.024761,34287616,59.815082,0.016718,100.257093,35344384,9.997437,0.100026,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.265049,35344384,10.245413,0.097605,0,0,0,0,100.166888,35037184,28.579209,0.03499,0,0,0,0
0,0,0,0,100.260304,35377152,7.269494,0.137561,100.022711,34803712,53.907973,0.01855,0,0,0,0,0,0,0,0
0,0,0,0,100.260729,35377152,7.519586,0.132986,100.030144,34816000,54.81749,0.018242,0,0,0,0,0,0,0,0
0,0,0,0,100.254084,35377152,7.920912,0.126248,0,0,0,0,100.157454,35053568,31.627368,0.031618,99.989237,33509376,9.301792,0.107506
