time,Node,level,msg,HopCount,QueueTime_0,Throughput_0,InterArrivalTime_0,QueueLength_0,Cpu_0,ServiceTime_0,BrokerId_0,Memory_0,AverageQueueTime_0,AverageThroughput_0,AverageServiceTime_0,ResponseTime_0,QueueTime_1,Throughput_1,InterArrivalTime_1,QueueLength_1,Cpu_1,ServiceTime_1,BrokerId_1,Memory_1,AverageQueueTime_1,AverageThroughput_1,AverageServiceTime_1,ResponseTime_1,QueueTime_2,Throughput_2,InterArrivalTime_2,QueueLength_2,Cpu_2,ServiceTime_2,BrokerId_2,Memory_2,AverageQueueTime_2,AverageThroughput_2,AverageServiceTime_2,ResponseTime_2,Timestamp_0,Timestamp_1,Timestamp_2
2024-07-31 16:15:04,localhost:50002,info,Advertisement(apple > 0.6614785222142885) 1c6ea5a9-227a-44b2-befe-535bab12d8a1,2,3.475682,0.215622,1.167563,4,100.353121,1.162056,2,39796736,7.302369,0.118148,1.161583,4.637738,575.325540,0.001735,0.742984,776,100.134166,1.160160,1,38961152,,,,576.485701,,,,,,,,,,,,,3.461811500000067,0.0,0.0
2024-07-31 16:15:05,localhost:50002,info,Advertisement(apple > 0.6737530712143829) 48210d3f-391b-47c4-ac3e-0304f0bffcf6,2,4.119002,0.189454,1.167563,3,100.352662,1.159337,2,39796736,7.300057,0.118180,1.161582,5.278340,284.515265,0.003504,0.745732,389,100.168732,0.912765,3,38825984,,,,285.428030,,,,,,,,,,,,,4.1021290999999565,0.0,0.0
2024-07-31 16:15:07,localhost:50002,info,Advertisement(apple > 0.6506623892875775) 7af35005-ad0a-4c27-9501-f8e3564405c5,2,4.637670,0.172465,1.167563,2,100.352260,1.160610,2,39796736,7.298125,0.118207,1.161581,5.798280,576.483661,0.001731,0.742636,778,100.133918,1.159013,1,38965248,,,,577.642673,,,,,,,,,,,,,4.621376200000213,0.0,0.0
2024-07-31 16:15:08,localhost:50002,info,Advertisement(apple > 0.4253050686698591) 49439892-55df-49f2-a8cd-b868f2eca598,2,4.619172,0.173015,1.168555,3,100.351845,1.160668,2,39829504,7.296183,0.118235,1.161580,5.779840,285.442486,0.003492,0.745968,389,100.168323,0.914066,3,38825984,,,,286.356552,,,,,,,,,,,,,4.603643099999999,0.0,0.0
2024-07-31 16:15:09,localhost:50002,info,Advertisement(apple > 0.17896902020063712) 74cf481d-7bce-44ae-8170-8646010d6390,3,4.945229,0.163877,1.168367,3,100.352030,1.156905,2,39829504,7.294479,0.118258,1.161577,6.102135,353.841589,0.002817,0.908506,385,100.236339,1.164153,4,39616512,,,,355.005742,89.354565,0.011048,1.079413,83,100.095645,1.160272,5.0,37171200,,,,90.514837,4.935567600000013,353.83986860000005,0.0
2024-07-31 16:15:10,localhost:50002,info,Advertisement(apple > 0.9532310537097474) c3ca2086-f5a7-4531-b3a8-4bd43fe080ea,2,2.620028,0.264215,1.168367,2,100.351818,1.164770,2,39829504,7.291094,0.118306,1.161579,3.784798,354.693887,0.002810,0.907685,387,100.237012,1.159103,4,39616512,,,,355.852989,,,,,,,,,,,,,2.6103664000002027,0.0,0.0
2024-07-31 16:15:11,localhost:50002,info,Advertisement(apple > 0.6518886078804003) 801b01b2-772c-4d05-abd0-cdff75336a03,2,3.551904,0.212470,1.168373,3,100.351494,1.154638,2,39833600,7.288389,0.118344,1.161574,4.706542,285.467487,0.003492,0.745508,390,100.167876,0.912497,3,38846464,,,,286.379984,,,,,,,,,,,,,3.5350306000000273,0.0,0.0
2024-07-31 16:15:12,localhost:50002,info,Advertisement(apple > 0.9591661196930616) 6cb7e455-092f-4046-9443-b48ef2e60114,2,3.802312,0.201582,1.167523,4,100.351100,1.158450,2,39833600,7.285868,0.118379,1.161572,4.960761,285.483787,0.003492,0.745508,389,100.167817,0.904316,3,38846464,,,,286.388103,,,,,,,,,,,,,3.787940499999877,0.0,0.0
2024-07-31 16:15:14,localhost:50002,info,Advertisement(apple > 0.08167403896240864) efe1e544-c557-428a-989e-05b63c047398,2,3.470341,0.215986,1.167523,3,100.350724,1.159589,2,39833600,7.283111,0.118418,1.161570,4.629930,579.187931,0.001723,0.742937,782,100.133583,1.164770,1,38977536,,,,580.352701,,,,,,,,,,,,,3.4554683999999725,0.0,0.0
2024-07-31 16:15:15,localhost:50002,info,Advertisement(apple > 0.24232544707987222) 7d862045-6b3d-42b2-9902-ba0bb4aa3783,3,3.773026,0.202826,1.168071,3,100.350373,1.157304,2,39833600,7.280577,0.118453,1.161567,4.930330,355.016243,0.002808,0.908320,387,100.235859,1.161739,4,39616512,,,,356.177981,89.728762,0.011003,1.079672,83,100.094880,1.157552,5.0,37171200,,,,90.886313,3.7633635999998205,355.01452110000014,0.0
